engine,uncompressed_size,compressed_size
bzip2,21740902,50
bzip2,21740903,50
bzip2,21740904,50
bzip2,21740905,50
bzip2,21740906,50
bzip2,21740907,50
bzip2,21740908,50
bzip2,21740909,50
bzip2,21740910,50
bzip2,21740911,50
bzip2,21740912,50
bzip2,21740913,50
bzip2,21740914,50
bzip2,21740915,50
bzip2,21740916,50
bzip2,21740917,50
bzip2,21740918,50
bzip2,21740919,50
bzip2,21740920,50
bzip2,21740921,50
bzip2,21740922,50
bzip2,21740923,50
bzip2,21740924,50
bzip2,21740925,50
bzip2,21740926,50
bzip2,21740927,50
bzip2,21740928,50
bzip2,21740929,50
bzip2,21740930,50
bzip2,21740931,50
bzip2,21740932,50
bzip2,21740933,50
bzip2,21740934,50
bzip2,21740935,50
bzip2,21740936,50
bzip2,21740937,50
bzip2,21740938,50
bzip2,21740939,50
bzip2,21740940,50
bzip2,21740941,50
bzip2,21740942,50
bzip2,21740943,50
bzip2,21740944,50
bzip2,21740945,50
bzip2,21740946,50
bzip2,21740947,50
bzip2,21740948,50
bzip2,21740949,50
bzip2,21740950,50
bzip2,21740951,50
bzip2,21740952,50
bzip2,21740953,50
bzip2,21740954,50
bzip2,21740955,50
bzip2,21740956,50
bzip2,21740957,50
bzip2,21740958,50
bzip2,21740959,50
bzip2,21740960,50
bzip2,21740961,50
bzip2,21740962,50
bzip2,21740963,50
bzip2,21740964,50
bzip2,21740965,50
bzip2,21740966,50
bzip2,21740967,50
bzip2,21740968,50
bzip2,21740969,50
bzip2,21740970,50
bzip2,21740971,50
bzip2,21740972,50
bzip2,21740973,50
bzip2,21740974,50
bzip2,21740975,50
bzip2,21740976,50
bzip2,21740977,50
bzip2,21740978,50
bzip2,21740979,50
bzip2,21740980,50
bzip2,21740981,50
bzip2,21740982,50
bzip2,21740983,50
bzip2,21740984,50
bzip2,21740985,50
bzip2,21740986,50
bzip2,21740987,50
bzip2,21740988,50
bzip2,21740989,50
bzip2,21740990,50
bzip2,21740991,50
bzip2,21740992,50
bzip2,21740993,50
bzip2,21740994,50
bzip2,21740995,50
bzip2,21740996,50
bzip2,21740997,50
bzip2,21740998,50
bzip2,21740999,50
bzip2,21741000,50
bzip2,21741001,50
bzip2,21741002,50
bzip2,21741003,50
